$L_{REGCOIL}$,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
2.1851730223428483,1.7678765481798102,1.1710983641159485,1.471951761015669,1.5626623668209698,1.7678765481798107,0.7118948265467966
2.3877522310711177,1.7231760290089226,1.1672827926980955,1.4225401735378935,1.5284706173344338,1.7231760290089224,0.7127310588466618
2.317944952590663,1.6777609140009289,1.0433802859337298,1.5414305004507793,1.4491575512031811,1.6777609140009289,0.7351426949353403
5.434958293951874,2.821695183079789,1.8246146544050263,2.3256029664971765,2.2292320424412564,2.821695183079789,1.3390967107216911
5.466369078546979,3.2327907654940904,2.1617307256893605,2.6016452297716515,2.771526081069932,3.232790765494091,1.5717158991604125
3.0115154326565787,2.1577895082144787,1.4012811658555184,1.820351873645345,1.95964538059488,2.1577895082144782,0.9318708184274967
2.0383026700056717,1.6052737277857674,1.081512819111546,1.3049298492245396,1.5164839450617291,1.6052737277857674,0.6201949468632789
11.161982009733212,7.288773738316309,6.6340393703834675,6.426929268920146,7.204892869568804,7.28877373831631,3.832726464351417
2.1706843217593503,1.4804858093440847,0.854711408823313,1.3005892342804488,1.3338070159902435,1.4804858093440851,0.550764773839684
3.4721743555821716,2.445267616568037,1.4680924803852493,1.9917526498681801,2.1882899113199348,2.445267616568038,1.0727314029218982
3.1745805803234175,2.3279350480315135,1.6806489625205214,1.9919178794916905,2.186805730708671,2.3279350480315135,0.8994098621008793
3.515588479321258,2.1001584242803157,1.3288793166014212,1.688913164151447,1.7818552525003895,2.1001584242803157,0.9383412014807474
4.870316411117887,3.9259339949296783,3.566132344784025,3.629285277471586,3.5139802593842515,3.9259339949296783,2.0141583705740307
5.679984521596216,2.6474046936301034,2.1723100305057366,2.384294230033351,2.295089854861989,2.6474046936301034,1.2811983785626317
5.414673058059984,2.7288259991151738,1.7486656741921027,2.255267972876365,2.0500259261409113,2.7288259991151733,1.287031856275581
2.9535009030703345,2.1185949982753143,1.4985885402422545,1.9105883618617956,1.9695508754985696,2.1185949982753147,0.8916551212613396
